district,building_id,school_name,borough,program_category
"01","M056","J.H.S. 56","M","Windows"
"01","M061","P.S. 61","M","Floors"
"01","M061","P.S. 61","M","Exterior Masonry"
"01","M063","P.S. 63","M","Kitchen Areas"
"01","M064","P.S. 64 (OLD 71)","M","Flood Elimination"
"01","M110","P.S. 110","M","Gymnasium Upgrade"
"01","M110","P.S. 110","M","Reinforcing Support Elements"
"02","M042","P.S. 42","M","Electrical Systems"
"02","M042","P.S. 42","M","Floors"
"02","M042","P.S. 42","M","Interior Spaces"
"02","M111","P.S. 111","M","Heating Plant Upgrade"
"02","M111","P.S. 111","M","Climate Control"
"02","M190","P.S. 290","M","Roofs"
"02","M190","P.S. 290","M","Parapets"
"02","M198","P.S. 198","M","Low-Voltage Electrical Systems"
"03","M044","I.S. 44","M","Paved Area-Blacktop"
"03","M044","I.S. 44","M","Fencing"
"03","M076","P.S. 76","M","Gymnasium Upgrade"
"03","M118","I.S. 118","M","Windows"
"03","M118","I.S. 118","M","Flood Elimination"
"03","M145","P.S. 145","M","Windows"
"03","M165","P.S. 165","M","IP Digital Video Surveillance"
"04","M050","P.S. 50 (UDC & ECF)","M","Flood Elimination"
"04","M117","J.H.S. 117","M","IP Digital Video Surveillance"
"05","M030","P.S. 30","M","Windows"
"05","M133","P.S. 133","M","Auditorium Upgrade"
"05","M175","P.S. 175","M","Toilets-Students"
"05","M194","P.S. 194","M","Playground Redevelopment"
"06","M005","P.S. 5","M","Exterior Masonry"
"06","M005","P.S. 5","M","Interior Spaces"
"06","M008","P.S. 8","M","Paved Area-Concrete"
"06","M128","P.S. 128","M","Roofs"
"06","M128","P.S. 128","M","Exterior Masonry"
"06","M128","P.S. 128","M","Paved Area-Concrete"
"06","M128","P.S. 128","M","Safety Systems"
"06","M143","I.S. 143","M","Kitchen Areas"
"06","M189","P.S. 189","M","Toilets-Students"
"06","M845","P.S. 98 MINISCHOOL","M","Windows"
"07","X025","P.S. 25","X","Paved Area-Blacktop"
"07","X040","P.S. 220","X","Gymnasium Upgrade"
"07","X139","J.H.S. 222","X","Paved Area-Blacktop"
"07","X139","J.H.S. 222","X","Low-Voltage Electrical Systems"
"07","X149","J.H.S. 149","X","Kitchen Areas"
"07","X161","P.S. 161","X","Playground Redevelopment"
"07","X807","DISTRICT OFFICE #7 (OLD 18)","X","Windows"
"08","X014","P.S. 14","X","Flood Elimination"
"08","X036","P.S. 36","X","Kitchen Areas"
"08","X052","I.S. 302","X","Kitchen Areas"
"08","X072","P.S. 72","X","Roofs"
"08","X123","I.S. 123","X","Exterior Masonry"
"08","X123","I.S. 123","X","Auditorium Upgrade"
"08","X138","P.S. 138","X","Kitchen Areas"
"08","X182","P.S. 182","X","Playground Redevelopment"
"08","X192","I.S. 192","X","Elevators and Escalators"
"09","X011","P.S. 11","X","Fencing"
"09","X028","P.S. 28","X","Paved Area-Blacktop"
"09","X028","P.S. 28","X","Fencing"
"09","X028","P.S. 28","X","Heating Plant Upgrade"
"09","X042","P.S. 42","X","Flood Elimination"
"09","X053","P.S. 53","X","Technology"
"09","X064","P.S. 64","X","Auditorium Upgrade"
"09","X090","P.S. 90","X","Electrical Systems"
"09","X145","I.S. 145","X","Windows"
"09","X163","P.S. 163","X","Windows"
"09","X166","I.S. 166","X","Roofs"
"09","X229","P.S. 230/I.S. 229 (UDC)","X","Kitchen Areas"
"10","X007","P.S. 7","X","Toilets-Students"
"10","X023","P.S. 23","X","Low-Voltage Electrical Systems"
"10","X024","P.S. 24","X","Windows"
"10","X024","P.S. 24","X","Auditorium Upgrade"
"10","X085","P.S. 85","X","Windows"
"10","X085","P.S. 85","X","Kitchen Areas"
"10","X118","I.S. 118","X","Technology"
"10","X118","I.S. 118","X","Technology"
"10","X137","I.S. 391 (UDC)","X","Toilets-Students"
"10","X137","I.S. 391 (UDC)","X","Gymnasium Upgrade"
"10","X137","I.S. 391 (UDC)","X","Kitchen Areas"
"10","X143","I.S. 143","X","Elevators and Escalators"
"10","X205","P.S. 205A (ECF)","X","Auditorium Upgrade"
"10","X279","P.S. 279","X","Gymnasium Upgrade"
"11","X016","P.S. 16","X","Roofs"
"11","X021","P.S. 21","X","Playground Redevelopment"
"11","X041","P.S. 41","X","Auditorium Upgrade"
"11","X089","P.S. 89","X","IP Digital Video Surveillance"
"11","X089","P.S. 89","X","Kitchen Areas"
"11","X097","P.S. 97","X","Auditorium Upgrade"
"11","X106","P.S. 106","X","Auditorium Upgrade"
"11","X106","P.S. 106","X","Playground Redevelopment"
"11","X112","P.S. 112","X","Electrical Systems"
"11","X113","I.S. 113","X","Electrical Systems"
"11","X121","P.S. 121","X","Playground Redevelopment"
"11","X121","P.S. 121","X","Parapets"
"11","X121","P.S. 121","X","Windows"
"11","X135","I.S. 135","X","Kitchen Areas"
"11","X142","I.S. 142","X","Flood Elimination"
"11","X142","I.S. 142","X","Exterior Masonry"
"11","X144","I.S. 144","X","TCU Removal and Playground Redevelopment"
"12","X044","P.S. 44","X","Toilets-Students"
"12","X057","P.S. 57","X","Low-Voltage Electrical Systems"
"12","X061","P.S. 61","X","Paved Area-Blacktop"
"12","X067","P.S. 67","X","Flood Elimination"
"12","X092","P.S. 92","X","Auditorium Upgrade"
"12","X102","P.S. 102","X","Parapets"
"12","X102","P.S. 102","X","Exterior Masonry"
"12","X116","I.S. 216","X","Paved Area-Blacktop"
"12","X193","P.S. 211","X","Elevators and Escalators"
"12","X198","P.S. 198","X","Paved Area-Blacktop"
"13","K113","I.S. 113","K","Walk In Freezer Replacement"
"13","K117","I.S. 117","K","Kitchen Areas"
"13","K265","I.S. 265","K","Walk In Freezer Replacement"
"13","K853","P.S. 93 AX (ECF-BD STUY ECC2)","K","Electrical Systems"
