district,building_id,school_name,borough,program_category
"01","M015","P.S. 15","M","Classroom Connectivity"
"01","M015","P.S. 15","M","Classroom Connectivity"
"01","M015","P.S. 15","M","Low-Voltage Electrical Systems"
"01","M015","P.S. 15","M","New/Retrofit Telephone/Intercom System"
"01","M019","P.S. 19","M","Classroom Connectivity"
"01","M019","P.S. 19","M","New/Retrofit Telephone/Intercom System"
"01","M020","P.S. 20","M","Classroom Connectivity"
"01","M022","N.E.S.T (OLD J22)","M","Classroom Connectivity"
"01","M022","N.E.S.T (OLD J22)","M","Room Conversions/Partitioning"
"01","M022","N.E.S.T (OLD J22)","M","Walk In Freezer Replacement"
"01","M025","J.H.S. 25","M","Classroom Connectivity"
"01","M025","J.H.S. 25","M","Classroom Connectivity"
"01","M025","J.H.S. 25","M","Classroom Connectivity"
"01","M025","J.H.S. 25","M","New/Retrofit Telephone/Intercom System"
"01","M025","J.H.S. 25","M","New/Retrofit Telephone/Intercom System"
"01","M025","J.H.S. 25","M","Science Lab Upgrades"
"01","M034","P.S. 34","M","Classroom Connectivity"
"01","M034","P.S. 34","M","Lighting Fixtures"
"01","M034","P.S. 34","M","New/Retrofit Telephone/Intercom System"
"01","M034","P.S. 34","M","Safety Systems"
"01","M056","J.H.S. 56","M","Classroom Connectivity"
"01","M056","J.H.S. 56","M","Classroom Connectivity"
"01","M056","J.H.S. 56","M","Classroom Connectivity"
"01","M056","J.H.S. 56","M","Emergency Stabilization"
"01","M056","J.H.S. 56","M","Room Conversions/Partitioning"
"01","M056","J.H.S. 56","M","Technology"
"01","M056","J.H.S. 56","M","Technology"
"01","M060","J.H.S. 60","M","Classroom Connectivity"
"01","M060","J.H.S. 60","M","IP Digital Video Surveillance"
"01","M060","J.H.S. 60","M","Lighting Fixtures"
"01","M060","J.H.S. 60","M","New/Retrofit Telephone/Intercom System"
"01","M061","P.S. 61","M","Classroom Connectivity"
"01","M061","P.S. 61","M","Domestic Piping"
"01","M061","P.S. 61","M","Emergency Stabilization"
"01","M061","P.S. 61","M","Exterior Masonry"
"01","M061","P.S. 61","M","Floors"
"01","M061","P.S. 61","M","Low-Voltage Electrical Systems"
"01","M061","P.S. 61","M","Parapets"
"01","M061","P.S. 61","M","Windows"
"01","M063","P.S. 63","M","Classroom Connectivity"
"01","M063","P.S. 63","M","Emergency Stabilization"
"01","M063","P.S. 63","M","Exterior Masonry"
"01","M063","P.S. 63","M","Flood Elimination"
"01","M063","P.S. 63","M","IP Digital Video Surveillance"
"01","M063","P.S. 63","M","New/Retrofit Telephone/Intercom System"
"01","M063","P.S. 63","M","Parapets"
"01","M063","P.S. 63","M","Roofs"
"01","M064","P.S. 64 (OLD 71)","M","Auditorium Upgrade"
"01","M064","P.S. 64 (OLD 71)","M","Classroom Connectivity"
"01","M064","P.S. 64 (OLD 71)","M","Classroom Connectivity"
"01","M064","P.S. 64 (OLD 71)","M","Lighting Fixtures"
"01","M064","P.S. 64 (OLD 71)","M","New/Retrofit Telephone/Intercom System"
"01","M110","P.S. 110","M","Classroom Connectivity"
"01","M110","P.S. 110","M","Emergency Stabilization"
"01","M110","P.S. 110","M","Exterior Masonry"
"01","M110","P.S. 110","M","Floors"
"01","M110","P.S. 110","M","New/Retrofit Telephone/Intercom System"
"01","M110","P.S. 110","M","Toilets-Students"
"01","M134","P.S. 134","M","Classroom Connectivity"
"01","M137","P.S. 137","M","Classroom Connectivity"
"01","M137","P.S. 137","M","Lighting Fixtures"
"01","M137","P.S. 137","M","Parapets"
"01","M137","P.S. 137","M","Roofs"
