district,building_id,school_name,borough,program_category,reason
"05","M133","P.S. 133","M","Boiler Conversion","Alternate Project Prioritized"
"05","M133","P.S. 133","M","Climate Control","Alternate Project Prioritized"
"07","X001","P.S. 1","X","Boiler Conversion","Alternate Project Prioritized"
"07","X001","P.S. 1","X","Climate Control","Alternate Project Prioritized"
"09","X132","P.S. 132","X","Boiler Conversion","Alternate Project Prioritized"
"09","X132","P.S. 132","X","Climate Control","Alternate Project Prioritized"
"09","X166","I.S. 166","X","Elevators and Escalators","Alternate Project Prioritized"
"10","X115","I.S. 399 (OLD X HS/115)","X","HVAC System","Alternate Project Prioritized"
"10","X115","I.S. 399 (OLD X HS/115)","X","Air Conditioning Retrofit","Alternate Project Prioritized"
"12","X129","I.S. 129 (PAIRED W P234)","X","Boiler Conversion","Alternate Project Prioritized"
"12","X129","I.S. 129 (PAIRED W P234)","X","Climate Control","Alternate Project Prioritized"
"13","K044","P.S. 44","K","Boiler Conversion","Alternate Project Prioritized"
"13","K044","P.S. 44","K","Climate Control","Alternate Project Prioritized"
"13","K067","P.S. 67","K","Accessibility","Alternate Project Prioritized"
"14","K071","I.S. 71","K","Boiler Conversion","Alternate Project Prioritized"
"14","K071","I.S. 71","K","Climate Control","Alternate Project Prioritized"
"15","K088","I.S. 88","K","HVAC","Alternate Project Prioritized"
"23","K073","P.S. 73","K","Accessibility","Alternate Project Prioritized"
"26","Q074","I.S. 74","Q","Elevators and Escalators","Alternate Project Prioritized"
"28","Q048","P.S. 48","Q","School Safety","Alternate Project Prioritized"
"28","Q080","P.S. 80","Q","Flood Elimination","Alternate Project Prioritized"
"29","Q136","P.S. 136","Q","Flood Elimination","Alternate Project Prioritized"
"29","Q208","P.S./I.S. 208","Q","Fencing","Alternate Project Prioritized"
"32","K116","P.S. 116","K","Boiler Conversion","Alternate Project Prioritized"
"32","K116","P.S. 116","K","Climate Control","Alternate Project Prioritized"
"78M","M480","JULIA RICHMAN ED. COMPLEX","M","Toilets-Students","Alternate Project Prioritized"
"78Q","Q425","JOHN BOWNE HS","Q","Roofs","Alternate Project Prioritized"
"78Q","Q425","JOHN BOWNE HS","Q","Exterior Masonry","Alternate Project Prioritized"
"78Q","Q425","JOHN BOWNE HS","Q","Electrical Systems","Alternate Project Prioritized"
"78Q","Q425","JOHN BOWNE HS","Q","Interior Spaces","Alternate Project Prioritized"
"78X","X405","HERBERT H. LEHMAN HS","X","Air Conditioning Split System","Alternate Project Prioritized"
"78X","X405","HERBERT H. LEHMAN HS","X","Interior Spaces","Alternate Project Prioritized"
"75K","K834","P.S. 372 (OUR LADY OF PEACE)","K","Code Compliance","Lease Term Not Capital Eligible"
"78K","K520","PACIFIC ALT HS","K","School Safety","Lease Term Not Capital Eligible"
"01","M061","P.S. 61","M","Reinforcing Cinder Concrete Slabs","No Capital Work Required"
"02","M001","P.S. 1","M","Library Upgrades","No Capital Work Required"
"02","M033","P.S. 33","M","Windows","No Capital Work Required"
"02","M033","P.S. 33","M","Exterior Masonry","No Capital Work Required"
"02","M047","J.H.S. 47 (SCH FOR THE DEAF)","M","Paved Area-Blacktop","No Capital Work Required"
"02","M047","J.H.S. 47 (SCH FOR THE DEAF)","M","Low-Voltage Electrical Systems","No Capital Work Required"
"02","M051","P.S. 51","M","School Safety","No Capital Work Required"
"02","M130","P.S. 130","M","Floors","No Capital Work Required"
"02","M130","P.S. 130","M","Interior Spaces","No Capital Work Required"
