special_notes,district,project_#,school_name,borough,forecast_capacity,design_start,constr_start,actual_est_completion,total_est_cost,previous_appropriations,funding_reqd_fy15-19,needed_to_complete
"*","02","DSF0000687090","P.S. 59 (MEETH)","M","374","May 2009","Nov 2010","Sep 2012","0.00","0.00","0.00","0.00"
"*","02","DSF0000687092","P.S. 281","M","640","Apr 2009","Jul 2010","Sep 2013","106.92","33.36","71.60","1.96"
"*","02","DSF0000687091","THE SIXTH AVENUE EDUCATIONAL CAMPUS","M","518","Jun 2010","Jul 2012","Sep 2014","122.50","63.28","56.62","2.60"
"*L","02","DSF0000709406","P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION","M","126","Jun 2011","Jan 2012","Jun 2012","3.32","0.00","3.14","0.18"
"*","02","DSF0000710937","THE CLINTON SCHOOL","M","307","Aug 2011","Jun 2012","Jul 2015","52.88","0.01","47.08","5.80"
"*","09","DSF0000417427","HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS","X","391","May 2009","Jun 2010","Aug 2013","52.89","0.18","51.75","0.96"
"*","10","DSF0000752872","P.S. 56 ADDITION","X","428","Oct 2012","Mar 2014","May 2016","72.21","0.00","55.49","16.72"
"*","10","DSF0000418128","THE NORWOOD EAST CAMPUS","X","640","Apr 2009","Jun 2010","Mar 2014","78.40","8.02","61.44","8.94"
"*","11","DSF0000752490","P.S. 96 ADDITION","X","408","May 2012","Jul 2013","Sep 2015","60.07","0.06","47.92","12.09"
"*","11","DSF0000688281","THE DOMINIC CASTORE EDUCATIONAL COMPLEX","X","379","Jun 2009","Apr 2010","Aug 2013","50.17","3.64","44.11","2.41"
"*L","11","DSF0000752873","P.S. 311","X","284","Sep 2012","Jan 2014","Sep 2015","23.10","0.00","11.28","11.82"
"*L","15","DSF0000687095","P.S. 516 SUNSET PARK AVENUES ELEMENTARY SCHOOL","K","332","Apr 2010","Jun 2012","Aug 2014","20.09","0.00","17.98","2.11"
"*","15","DSF0000730968","PARKSIDE COMMUNITY COMPLEX","K","757","Feb 2011","Jul 2012","Sep 2015","123.77","0.14","90.37","33.26"
"*L","15","DSF0000775561","P.S. 118 MAURICE SENDAK COMMUNITY SCHOOL","K","256","Dec 2012","Jun 2013","Sep 2013","4.76","0.00","4.09","0.67"
"*","20","DSF0000687106","PS 310 THE SCHOOL FOR FUTURE LEADERS","K","367","Jan 2009","Jun 2010","Aug 2012","43.44","4.91","38.39","0.14"
"*","20","DSF0000417409","P.S./I.S. 30 MARY WHITE OVINGTON","K","708","Mar 2009","Jul 2010","Jun 2013","84.86","13.15","68.16","3.55"
"*L","20","DSF0000775562","LEFFERTS PARK ANNEX","K","256","Nov 2012","Oct 2013","Jul 2015","18.00","0.00","13.84","4.16"
"*","22","DSF0000425868","P.S./I.S. 338","K","757","May 2010","Jun 2014","May 2017","103.55","0.20","82.14","21.21"
"*","24","DSF0000417389","P.S. 87 ADDITION","Q","140","Sep 2010","Apr 2012","Sep 2013","35.67","0.13","31.16","4.39"
"*","24","DSF0000687097","P.S. 330","Q","420","Apr 2010","Oct 2011","Sep 2013","58.93","0.00","57.01","1.92"
