existingsiteidentified,proposedleasedfacility,forecastcapacity,district,school,projectnum,description,location,latitude,longitude,actualestcompl,fy,designstart,constrstart,totalestcost,previousappropriations,fundingreqd,neededtocomplete,source,inprev,cd,borough,csd,geom_source,geom
No,Yes,60,31,3K CENTER @ AMBOY ROAD,DSF0000911939,3k capacity projects,,,,2019-09-20T00:00:00.000,2020,2019-09-18T00:00:00.000,2019-01-20T00:00:00.000,4.5,0.36,4.14,0,sca_cp_3k_schools,,,,,,
No,Yes,105,31,3K CENTER @ ARTHUR KILL ROAD,DSF0000911938,3k capacity projects,,,,2019-09-20T00:00:00.000,2020,2019-09-18T00:00:00.000,2019-01-20T00:00:00.000,7,0.55,6.46,0,sca_cp_3k_schools,,,,,,
No,Yes,240,31,3K CENTER @ BRICKTOWN WAY,DSF0000890617,3k capacity projects,,,,2019-08-20T00:00:00.000,2020,2019-08-18T00:00:00.000,2019-12-19T00:00:00.000,22.39,0.04,22.35,0,sca_cp_3k_schools,,,,,,
No,Yes,345,31,3K CENTER @ HYLAN BOULEVARD,DSF0000911940,3k capacity projects,,,,2019-07-20T00:00:00.000,2020,2019-09-18T00:00:00.000,2019-07-19T00:00:00.000,34.7,2.65,32.05,0,sca_cp_3k_schools,,,,,,
No,Yes,150,9,3K CENTER @ PLIMPTON AVENUE,DSF0000891035,3k capacity projects,,,,2019-08-20T00:00:00.000,2020,2019-11-18T00:00:00.000,2019-07-19T00:00:00.000,0.02,0.02,0,0,sca_cp_3k_schools,,,,,,
No,Yes,105,12,3K CENTER @ WEST FARMS ROAD,DSF0000891031,3k capacity projects,,,,2019-08-20T00:00:00.000,2020,2019-11-18T00:00:00.000,2019-07-19T00:00:00.000,0.01,0.01,0,0,sca_cp_3k_schools,,,,,,
,,824,11,PROJECT #1,DSF0000911831,capacity projects,,,,Jun-25,2025,Jun-20,Dec-21,127.55,0,118.55,9,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,22,PROJECT #1,DSF0000911867,capacity projects,,,,Mar-27,2027,May-23,Jun-24,78.33,0,69.8,8.53,sca_cp_cap_schools_FY2020-24,,,,,,
,,1202,78Q,PROJECT #1,DSF0000911856,capacity projects,,,,Mar-26,2026,Nov-20,Mar-22,183.8,0,166.9,16.9,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,19,PROJECT #1,DSF0000911836,capacity projects,,,,Mar-27,2027,Mar-23,Jun-24,78.33,0,69.8,8.53,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,30,PROJECT #1,DSF0000911869,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,,
,,476,21,PROJECT #1,DSF0000911840,capacity projects,,,,Mar-27,2027,Mar-23,Jun-24,78.33,0,69.8,8.53,sca_cp_cap_schools_FY2020-24,,,,,,
,,824,25,PROJECT #1,DSF0000911866,capacity projects,,,,Mar-28,2028,Mar-23,Jun-24,134.58,0,119.85,14.73,sca_cp_cap_schools_FY2020-24,,,,,,
,L,476,12,PROJECT #1,DSF0000798238,capacity projects,,,,Mar-24,2024,Jun-20,Sep-21,20.85,0.16,20.69,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,476,13,PROJECT #1,DSF0000843824,capacity projects,,,,Mar-25,2025,Mar-21,Jun-22,71.31,0.14,66.19,4.97,sca_cp_cap_schools_FY2020-24,Y,,,,,
,L,476,2,PROJECT #1,DSF0000798172,capacity projects,,,,Mar-24,2024,Mar-20,Jun-21,21.84,1.02,20.83,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,640,15,PROJECT #1,DSF0000866091,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,99.43,0,99.43,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,824,20,PROJECT #1,DSF0000798187,capacity projects,,,,Jun-24,2024,Jan-20,Apr-21,137.71,10.3,127.41,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,476,9,PROJECT #1,DSF0000911815,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,,
,L,824,28,PROJECT #1,DSF0000888931,capacity projects,,,,Aug-25,2026,Jan-21,Apr-22,42.15,0,38.25,3.9,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,572,8,PROJECT #1,DSF0000911814,capacity projects,,,,Mar-25,2025,Mar-21,Jun-22,95.19,0,88.49,6.7,sca_cp_cap_schools_FY2020-24,,,,,,
,,824,24,PROJECT #1,DSF0000843831,capacity projects,,,,Sep-24,2025,Mar-20,Jun-21,127.56,0.04,123.93,3.6,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,572,7,PROJECT #1,DSF0000798173,capacity projects,,,,Jun-24,2024,Jun-20,Oct-21,92.38,0.11,92.26,0,sca_cp_cap_schools_FY2020-24,Y,,,,,
No,Yes,506,25,PROJECT #1,DSF0000888955,capacity projects,,,,Jun-22,2022,Jun-18,Sep-19,31.49,0,2.39,,sca_cp_cap_schools_FY2015-19,Y,,,,,
,,572,29,PROJECT #1,DSF0000911863,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,96.59,0,87.75,8.84,sca_cp_cap_schools_FY2020-24,,,,,,
,,640,26,PROJECT #1,DSF0000911855,capacity projects,,,,Mar-27,2027,Sep-22,Dec-23,106.45,0,94.83,11.63,sca_cp_cap_schools_FY2020-24,,,,,,
,,824,10,PROJECT #1,DSF0000843830,capacity projects,,,,Jun-27,2027,Jun-22,Dec-23,134.58,0.01,119.84,14.72,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,476,31,PROJECT #1,DSF0000911847,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,,
,L,612,14,PROJECT #1,DSF0000687094,capacity projects,,,,Jun-27,2027,Jun-23,Sep-24,28.01,0.11,2.11,25.78,sca_cp_cap_schools_FY2020-24,Y,,,,,
,,476,27,PROJECT #1,DSF0000911857,capacity projects,,,,Mar-25,2025,Jan-21,Apr-22,74.11,0,68.91,5.2,sca_cp_cap_schools_FY2020-24,,,,,,
