district,borough,buildingid,school,projectnum,description,fy,total,source,cd,csd,geom
78R,Staten Island,R451,CURTIS HS AF,DSF0000860467,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2017,"110,649",sca_cp_programs_prev,,,
33Q,Queens,Q801,OSSS / DSF,DSF0000769311,State of Good Repair - System Replacements - Heating Plant Upgrade,2019,"27,954,578",sca_cp_programs_prev,,,
78K,Brooklyn,K457,BOYS HS AF (OLD),DSF0000866085,State of Good Repair - System Replacements - Heating Plant Upgrade,2018,"60,584",sca_cp_programs_prev,,,
78K,Brooklyn,K411,LINCOLN HS AF,DSF0000799405,State of Good Repair - System Replacements - Electrical Systems,2015,"88,310",sca_cp_programs_prev,,,
2,Manhattan,M777,FIT,DSF0000844031,"State of Good Repair - System Replacements - Heating Plant Upgrade
Ventilation",2016,"711,486",sca_cp_programs_prev,,,
78X,Bronx,X963,CROTONA ACADEMY TRANSPORTABLE,DSF0000821659,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground Redevelopment,2020,4125209,sca_cp_programs_cur,,,
2,Manhattan,M777,FIT,DSF0000866165,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2018,"627,255",sca_cp_programs_prev,,,
33K,Brooklyn,K995,LEARNING SUPPORT CENTER,DSF0000799842,State of Good Repair - System Replacements - Heating Plant Upgrade,2015,"31,659",sca_cp_programs_prev,,,
78X,Bronx,X476,KENNEDY HS AF,DSF0000843758,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2016,"463,513",sca_cp_programs_prev,,,
78R,Staten Island,R436,NEW DORP HS AF (NEW),DSF0000801024,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2018,"9,964,267",sca_cp_programs_prev,,,
33K,Brooklyn,K801,CENT HEADQTRS (65 COURT),DSF0000867176,State of Good Repair - System Replacements - Windows,2018,"3,605,243",sca_cp_programs_prev,,,
33Q,Queens,Q801,OSSS / DSF,DSF0000769305,State of Good Repair - Building Upgrade - Flood Elimination,2019,"8,938,223",sca_cp_programs_prev,,,
2,Manhattan,M777,FIT,DSF0000843779,State of Good Repair - System Replacements - Heating Plant Upgrade,2017,"234,250",sca_cp_programs_prev,,,
78Q,Queens,Q488,CLEVELAND HS AF NO. 2,DSF0000769098,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2016,"10,324,155",sca_cp_programs_prev,,,
33K,Brooklyn,K801,CENT HEADQTRS (65 COURT),DSF0000851530,State of Good Repair - Building Upgrade - Elevators and Escalators,2018,"2,498,976",sca_cp_programs_prev,,,
33Q,Queens,Q800,DOE ADMINISTRATIVE / STUDENT SERVICES,DSF0000777531,Safety and Security - Safety and Security - Emergency Lighting and Fire Safety Retrofits,2015,"27,032",sca_cp_programs_prev,,,
78X,Bronx,X482,BRONX HS FOR THE VISUAL ARTS GYM ANNEX,DSF0000889569,System Expansion - New Construction-Common-Facilities-Additions - Gymnasiums,2020,18151065,sca_cp_programs_cur,,,
33K,Brooklyn,K802,CENT HEADQTRS (131 LIV),DSF0000798423,State of Good Repair - Building Upgrade - Lighting Fixtures,2016,"935,628",sca_cp_programs_prev,,,
78K,Brooklyn,K466,ERASMUS HALL HS AF,DSF0000865862,State of Good Repair - System Replacements - Heating Plant Upgrade,2017,"39,140",sca_cp_programs_prev,,,
2,Manhattan,M777,FIT,DSF0000844035,"State of Good Repair - System Replacements - Heating Plant Upgrade
Ventilation",2017,"4,356,606",sca_cp_programs_prev,,,
2,Manhattan,M777,FIT,DSF0000843775,"State of Good Repair - System Replacements - Heating Plant Upgrade
Ventilation",2017,"2,831,627",sca_cp_programs_prev,,,
33Q,Queens,Q801,OSSS / DSF,DSF0000769320,State of Good Repair - Building Upgrade - Interior Spaces,2019,"2,350,098",sca_cp_programs_prev,,,
33K,Brooklyn,K995,LEARNING SUPPORT CENTER,DSF0000799740,State of Good Repair - Building Upgrade - Lighting Fixtures,2015,"25,626",sca_cp_programs_prev,,,
24,Queens,Q342,P.S. 81 GYM ANNEX,DSF0000866743,System Expansion - New Construction-Common-Facilities-Additions - Gymnasiums,2019,"7,133,985",sca_cp_programs_prev,,,
78X,Bronx,X988,LAFAYETTE ACADEMIES,DSF0000865936,Classroom Connectivity,2017,"153,248",sca_cp_programs_prev,,,
78K,Brooklyn,K516,SOUTH SHORE HS AF,DSF0000844106,State of Good Repair - Rehabilitation of Physical Education Facilities - Athletic Fields,2017,"77,338",sca_cp_programs_prev,,,
33K,Brooklyn,K801,CENT HEADQTRS (65 COURT),DSF0000874197,State of Good Repair - Building Upgrade - Climate Control,2018,"55,606",sca_cp_programs_prev,,,
2,Manhattan,M777,FIT,DSF0000843923,State of Good Repair - Building Upgrade - Low-Voltage Electrical System,2017,"8,309,515",sca_cp_programs_prev,,,
1,Manhattan,MGYM,STANDALONE GYM ANNEX,DSF0000866746,System Expansion - New Construction-Common-Facilities-Additions - Gymnasiums,2019,"6,232,500",sca_cp_programs_prev,,,
14,Brooklyn,K673,P.S. 18 GYM ANNEX,DSF0000866744,System Expansion - New Construction-Common-Facilities-Additions - Gymnasiums,2018,"8,333,370",sca_cp_programs_prev,,,
78X,Bronx,X963,CROTONA ACADEMY TRANSPORTABLE,DSF0000821659,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground Redevelopment,2018,"4,125,209",sca_cp_programs_prev,,,
2,Manhattan,M777,FIT,DSF0000844033,Educational Enhancements - Educational Enhancements - Library Upgrade,2016,"654,729",sca_cp_programs_prev,,,
33X,Bronx,X807,DISTRICT OFFICE #7 (OLD 18),DSF0000797347,State of Good Repair - Building Upgrade - Lighting Fixtures,2016,"410,827",sca_cp_programs_prev,,,
33K,Brooklyn,K986,DIV. OF INSTR. & INFO. TECH.,DSF0000799766,State of Good Repair - Building Upgrade - Lighting Fixtures,2016,"74,978",sca_cp_programs_prev,,,
78K,Brooklyn,K411,LINCOLN HS AF,DSF0000799404,State of Good Repair - Building Upgrade - Interior Spaces,2015,"132,563",sca_cp_programs_prev,,,
