bldgid,district,boro,school,programcategory,source,geom,cd,school_district
X002,9,X,MORRISANIA SEC ED COMPLEX,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000EAE5FF9CC77952C084FACC78BD6A4440,203,9
X254,10,X,I.S. 254,Classroom Connectivity,sca_cp_added_projects,0101000020E6100000BD1EABD0F37852C0289FC76DEB6D4440,206,10
X254,10,X,I.S. 254,Roofs,sca_cp_added_projects,0101000020E6100000BD1EABD0F37852C0289FC76DEB6D4440,206,10
X254,10,X,I.S. 254,Exterior Masonry,sca_cp_added_projects,0101000020E6100000BD1EABD0F37852C0289FC76DEB6D4440,206,10
X115,10,X,I.S. 399 (OLD X HS/115),Roofs,sca_cp_added_projects,0101000020E6100000F6378EA9A17952C0AEC19306046E4440,205,10
X115,10,X,I.S. 399 (OLD X HS/115),Accessibility,sca_cp_added_projects,0101000020E6100000F6378EA9A17952C0AEC19306046E4440,205,10
X115,10,X,I.S. 399 (OLD X HS/115),Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000F6378EA9A17952C0AEC19306046E4440,205,10
X115,10,X,I.S. 399 (OLD X HS/115),Lighting Fixtures,sca_cp_added_projects,0101000020E6100000F6378EA9A17952C0AEC19306046E4440,205,10
X115,10,X,I.S. 399 (OLD X HS/115),New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E6100000F6378EA9A17952C0AEC19306046E4440,205,10
X067,12,X,P.S. 67,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000A583CAA2967852C07D223008016C4440,206,12
X067,12,X,P.S. 67,Student Toilets,sca_cp_added_projects,0101000020E6100000A583CAA2967852C07D223008016C4440,206,12
X067,12,X,P.S. 67,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000A583CAA2967852C07D223008016C4440,206,12
X148,9,X,I.S. 219 (OLD 148),IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E6100000FBBDF34FDA7952C0F2031464B06A4440,203,9
X148,9,X,I.S. 219 (OLD 148),Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000FBBDF34FDA7952C0F2031464B06A4440,203,9
X001,7,X,P.S. 1,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000067DD894CDB7A52C0FC5F53DFDF684440,201,7
X001,7,X,P.S. 1,Lighting Fixtures,sca_cp_added_projects,0101000020E610000067DD894CDB7A52C0FC5F53DFDF684440,201,7
X090,9,X,P.S. 90,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E61000002F60FDC2B87A52C046F93AD47A6A4440,204,9
X110,9,X,P.S. 110,Electrical Systems,sca_cp_added_projects,0101000020E6100000473AE0BDA37952C0F13B0098DC6A4440,203,9
X141,10,X,M.S./H.S. 141,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E610000013CDA1E27E7A52C07123171AA5714440,208,10
X141,10,X,M.S./H.S. 141,Accessibility,sca_cp_added_projects,0101000020E610000013CDA1E27E7A52C07123171AA5714440,208,10
X405,78X,X,HERBERT H. LEHMAN HS,Air Conditioning Split System,sca_cp_added_projects,0101000020E6100000F51E738BBA7552C045FB2E54836B4440,210,11
X405,78X,X,HERBERT H. LEHMAN HS,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000F51E738BBA7552C045FB2E54836B4440,210,11
X405,78X,X,HERBERT H. LEHMAN HS,IP Digital Video Surveillance System,sca_cp_added_projects,0101000020E6100000F51E738BBA7552C045FB2E54836B4440,210,11
X405,78X,X,HERBERT H. LEHMAN HS,Reinforcing Cinder Concrete Slabs,sca_cp_cancelled_projects,0101000020E6100000F51E738BBA7552C045FB2E54836B4440,210,11
X405,78X,X,HERBERT H. LEHMAN HS,Interior Spaces,sca_cp_added_projects,0101000020E6100000F51E738BBA7552C045FB2E54836B4440,210,11
X405,78X,X,HERBERT H. LEHMAN HS,Domestic Piping,sca_cp_added_projects,0101000020E6100000F51E738BBA7552C045FB2E54836B4440,210,11
X405,78X,X,HERBERT H. LEHMAN HS,Student Toilets,sca_cp_added_projects,0101000020E6100000F51E738BBA7552C045FB2E54836B4440,210,11
